rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
37747,39486,40118,40039,40118,40672,38972,39921
40632,39288,39921,39881,40079,40316,38893,39921
41265,39051,39763,39802,40118,40711,38814,39565
40830,38616,39605,39684,40079,40909,39130,39170
40276,38340,39723,39723,39960,39921,38933,39209
40158,38774,39763,39802,39446,39565,38933,39723
40553,39328,39763,39960,39051,40514,39960,40039
40276,39446,39723,40000,39288,40948,40672,40118
38933,39012,39525,39842,39605,40079,40197,39684
38300,39130,39407,39644,39644,38577,39605,39486
38854,39842,39605,39525,39723,37589,39605,39605
39525,40197,39763,39446,39763,37865,39644,39802
39723,40237,39881,39525,39684,38735,39723,40039
40000,40514,39960,39723,40000,40039,40118,40316
40079,41344,39960,39960,40711,41146,40276,40276
39684,41462,39921,40079,41304,41502,40237,39960
39367,40830,39960,40000,41027,41027,39960,39644
39288,40237,40079,39921,40197,40197,39684,39367
39328,39684,40039,39881,39960,39960,39446,39525
39605,39328,39842,39881,39802,39723,39249,39644
39802,39170,39842,39881,39328,39525,39130,39684
39763,39170,39921,39921,39288,39960,39249,39723
39921,39051,39881,39921,39486,40197,39367,39802
40118,39328,39960,40039,39644,40079,39446,39921
40118,39763,40118,40039,40000,39881,39684,40039
40158,40356,40158,39842,40276,39763,40118,40158
40158,40790,40118,39605,40276,39328,39842,40039
40039,40869,39960,39407,40000,39486,39644,40000
40158,40553,39763,39763,40593,40553,40000,40237
40000,40276,39605,39960,40909,40553,40000,40079
39565,40079,39367,40039,40711,40158,39763,39565
39367,40000,39367,39921,40276,40197,39565,39446
39367,39921,39605,39565,39051,39367,39051,39367
39170,39684,40039,39565,37905,38537,38774,39407
39091,38854,40276,39802,37747,38616,39525,39684
39407,38340,40316,40237,39051,39288,40197,40276
40000,39367,40197,40276,40435,39881,40356,40593
39921,40948,39921,40000,40711,40514,40237,40039
39842,41146,39644,39644,40356,41027,40079,39130
40118,40474,39407,39328,39723,40909,39842,38854
39802,40000,39446,39328,39565,40276,39802,39209
39921,40000,39763,39525,39763,40000,39960,39921
40197,39763,40039,39723,39842,39763,40079,40593
40672,38972,40000,39802,39802,39446,40118,40632
41146,38379,39723,40000,40118,39328,39723,40356
40276,38972,39684,40079,40395,39407,39209,40158
39763,40158,39802,40039,40197,39605,39051,39960
38893,40632,39802,39960,39881,39486,39012,39446
37905,40672,39881,39921,39684,39605,38972,39209
39328,40869,39960,39802,39644,39723,39367,39565
40711,40830,40039,39960,39960,39921,39802,40000
40514,40158,39960,40118,40237,40237,39960,39960
39051,39644,39802,40000,40039,40237,39842,39565
37510,39684,39763,39644,39446,39842,39802,39170
37431,39763,39684,39486,39328,39644,39763,39328
39328,40000,39644,39605,39525,39605,39802,39802
40790,40118,39605,39723,39684,39684,39763,40079
41107,39486,39446,39842,39921,39881,39763,40079
40553,39051,39565,40000,40158,40039,39684,39921
40395,39170,39881,40039,40079,40000,39684,39881
40514,39407,40079,40039,39881,40000,39763,39960
40276,39407,40079,39842,39684,39960,39723,40000
40039,38340,39960,39723,39525,39842,39605,39881
40079,37193,39881,39605,39288,39723,39605,39763
39881,38537,39921,39684,39446,39723,39605,39802
39605,41265,40158,39842,39802,39802,39684,39921
39763,42648,40356,40000,40039,39881,39802,40079
39367,42569,40316,40000,40039,39881,39842,40197
38419,41620,40197,39763,39723,39723,39763,40118
39209,40830,40000,39486,39328,39605,39644,40000
39881,40316,39842,39525,39525,39723,39486,39763
39644,39881,39723,39684,39921,39842,39446,39367
39091,39249,39446,39684,39960,39446,39446,39012
38774,38695,39407,39842,39881,38933,39446,38972
39130,38537,39684,40237,40197,39288,39684,39367
39802,38774,40000,40079,40000,39763,39842,39842
40316,39012,40237,39802,39723,39684,39763,40039
40316,39170,40237,39842,39842,39763,39723,40118
40158,39605,40316,39921,40039,39960,39802,40158
40316,40158,40435,39960,40158,40356,39842,40316
40514,40553,40435,39960,40237,40672,39842,40356
40672,40751,40158,40079,40316,40553,39605,40158
40197,40553,39723,40039,40039,40118,39407,39723
39723,40395,39486,39842,39684,40039,39407,39446
39802,40158,39644,39723,39644,40395,39723,39565
39802,40197,39842,39763,39684,40514,39921,39842
39684,40593,39881,40079,39446,40039,39960,40079
39367,40909,39605,40158,39051,39091,39684,39960
38656,40672,39288,39802,38854,38182,39367,39605
38142,39763,39091,39525,39209,38300,39486,39407
38103,38814,39407,39605,40395,39644,39684,39486
38774,38458,39921,39960,41502,40514,39802,39644
39446,38695,40276,39960,41265,40039,39881,39605
40474,39565,40197,39723,40514,39525,39960,39723
40751,40830,39960,39644,39960,39881,39723,39723
40000,40869,39763,39723,39802,40395,39486,39684
39565,39367,39446,39684,39644,40395,39249,39960
39960,38498,39328,39684,39407,40000,38933,40316
40632,37944,39446,39684,39328,39723,38893,39881
40632,38024,39644,39802,39328,39921,39130,39249
40395,39328,39960,39960,39605,40356,39684,39328
40237,39960,39921,40039,40039,40276,40158,39684
39802,40435,39723,40000,40316,40039,40158,40158
39091,41620,39565,39960,40276,40118,40079,40790
39091,41858,39565,39842,39842,40197,40158,40988
39367,41423,39723,39565,39249,39763,40435,40593
39565,41067,39921,39525,39170,39170,40553,39960
39802,40237,40039,39960,39921,38933,40276,39525
39684,39486,40000,40316,40553,39446,39842,39288
39605,39802,39960,40079,40237,39802,39407,39130
40553,40316,39921,39881,39763,39960,39091,39209
41423,39525,39723,39565,39249,39960,38854,39407
40237,38182,39605,39407,38419,39684,38893,39525
38695,37668,39802,39209,38261,39446,39170,39605
39130,38300,39881,39407,39249,39525,39565,40079
39842,39209,39921,39802,40356,39644,39960,40356
40237,40118,39881,39960,40751,39802,40039,40039
40474,41581,39881,40118,40790,40079,39960,39921
39407,42609,39763,40000,40790,40197,39842,39960
38221,41502,39565,39802,40790,39960,39723,40079
38774,39842,39605,39763,40514,39684,39881,40672
39012,38695,39684,39881,40000,39486,40197,40514
36838,38024,39763,40000,39763,39723,40079,39446
36047,37826,39763,40197,40118,40118,39802,38577
38735,37984,39446,40197,40197,40514,39605,39091
42767,39367,39605,39921,40039,40632,39565,40237
44506,40079,39802,39763,39723,40435,39684,40751
42964,40553,40118,39921,39525,40316,39881,40316
41146,41699,40435,39763,38893,40316,40435,39842
39723,42806,40514,39684,38537,40237,41107,39644
38537,42727,40435,39763,38735,40118,41027,39525
38063,41541,40197,39842,39130,39921,40158,39407
37944,40118,39842,39802,39802,39842,39288,39565
38616,39249,39802,39881,40356,40237,38616,40000
39684,38814,39763,39881,40474,40751,38537,40079
40356,36917,39328,39763,40158,40593,38182,39644
40751,34940,38972,39565,40474,39209,37431,39130
40869,35850,38972,39565,41818,37391,38340,39170
39842,39012,39407,39723,42174,37589,39367,39446
39051,41541,39802,40039,41186,38735,39684,39763
39170,41818,39960,40039,39249,39288,40237,39921
39209,41660,40079,39960,36838,39407,40514,39960
39209,41897,40197,39842,35810,39170,40553,39960
39486,42016,40197,39881,36363,38972,40395,40237
39881,41937,40079,39921,37826,38735,40316,40356
40000,40869,39921,39723,40276,38972,40316,40395
40237,39723,39921,39684,42371,40000,39921,40158
40593,39367,40079,39802,43004,41265,39209,39525
40395,39486,40158,39881,42767,41937,39407,39328
39605,38933,39881,39802,41897,41699,39446,39367
39091,38537,39763,39802,40316,41027,39328,39130
39209,39170,39763,40039,39130,41027,39525,39328
39130,40039,39723,40039,38656,41027,39565,39644
39605,40356,39763,39842,38616,40316,39249,39763
40276,40118,39842,39763,38577,39367,39051,39684
40553,39565,39842,39644,38814,38537,39091,39723
40395,38854,39842,39565,39012,38063,39209,39802
40000,38735,39565,39605,39486,38300,39446,39842
40000,39367,39684,39644,40079,38933,39763,40000
40276,40593,40118,40000,40514,39486,39881,40316
40474,41502,40435,40237,40356,39644,40197,40672
40316,40395,40474,40197,40000,39565,40553,40830
39881,39170,40237,39960,39684,39367,40395,40632
39684,38695,39881,39763,39763,39565,40000,40316
39367,38537,39367,39605,39802,39644,39446,39644
38774,39328,39130,39446,39842,39525,38972,38972
38340,40672,39328,39723,40158,39763,38972,38735
38458,40869,39723,39921,40395,40000,39209,38735
38972,40079,39881,40000,40276,40356,39525,38933
39802,40632,40118,40118,40118,40356,39763,39328
40356,41541,40276,39921,39842,39605,39802,39684
40395,41304,40237,39881,39644,39130,39723,39763
39881,40276,40197,39921,39525,39407,39684,39921
38656,39723,40118,39802,39605,39407,39763,40039
39012,39644,39960,39802,39565,38893,40039,40237
40039,39209,39842,39763,39328,38735,40356,40237
40118,38814,39525,39605,39407,39605,40118,39763
39842,38893,39328,39407,39407,40514,39565,39367
39763,39209,39605,39565,40158,41304,39486,39446
39881,39684,40000,39921,40790,42134,39842,39802
40039,40158,40118,40237,41225,42885,39842,40356
