rawDataOut1,rawDataOut2,rawDataOut3,rawDataOut4,rawDataOut5,rawDataOut6,rawDataOut7,rawDataOut8
40632,40316,38340,39842,40039,39644,39763,39881
41620,40514,39012,39684,39842,39644,39723,40395
41778,40435,39170,39763,40000,39644,39723,40356
40948,40039,39367,39565,39842,39407,39684,39960
39684,39565,40000,39565,39565,39288,39525,39723
39525,39605,40948,39763,39565,39446,39525,39921
40158,40197,41858,39881,39881,40000,39802,40237
39881,40830,41778,39960,40079,40514,40000,40474
39170,41186,41186,39921,40000,40514,40079,40316
38695,41146,40830,39842,39763,40158,39802,39960
38893,40593,40632,39644,39446,39842,39605,39802
39091,39723,40435,39367,39091,39605,39565,40039
38458,39367,40276,39249,38814,39446,39367,39842
37786,39051,39763,39407,39012,39407,39170,38458
37747,38498,39486,39960,39723,39565,39209,37668
38340,38458,39684,40079,40118,39802,39486,38458
39328,39051,39842,39802,40079,39881,39960,39446
41858,39881,39723,39802,40158,39921,40118,40276
43439,40079,39328,40000,40356,39684,39960,40751
42332,39960,38616,39921,40395,39644,39881,40711
41383,40118,38221,39684,40000,39407,39723,40593
41423,40435,38142,39763,39842,39565,39644,40474
40435,40514,38261,39960,40474,39921,39605,40158
39723,40356,38854,40039,41186,40079,39605,40237
39130,39881,39525,39960,40593,40118,39684,40711
36996,39446,39960,39921,39565,39960,39684,40553
36522,39407,40276,39644,39288,39723,39723,40276
38774,39525,40435,39565,39091,39605,39684,40079
39881,39644,40632,39684,39130,39723,39644,39723
39328,39684,40672,39802,39407,39881,39605,39170
39881,39881,40395,39723,39446,40039,39644,38774
40909,40118,40158,39644,39486,40356,39565,38814
40000,40039,39921,39605,39644,40237,39525,38735
38182,39802,39605,39644,39684,39684,39367,38340
38498,39684,39565,39881,39881,39486,39407,38735
39881,39723,39644,40000,40276,39763,39684,39644
40395,40000,39802,39881,40593,39763,39802,40197
41462,40435,39881,39723,40593,39367,39921,40632
42767,40830,39921,39960,40672,39525,40118,41107
41897,40909,40000,40158,40790,39921,40356,41186
40237,40553,40039,40118,40395,39723,40039,41225
39525,39921,39921,39960,40197,39605,39644,41146
39446,39091,39525,39802,40039,39565,39288,40711
38419,38419,39288,39644,39684,39407,39209,39802
36601,38300,39407,39525,39367,39684,39288,39328
35059,38577,39684,39328,39288,40356,39525,39091
36284,39486,40158,39249,39446,40593,39565,38616
39170,41027,41107,39723,40039,41067,39763,37944
